Dataset,Engine,TotalTime(S),TotalEnergy(J),AvgPowerDrawTimed(W),MinDrawSampled(W),Q1DrawSampled(W),MedianDrawSampled(W),Q3DrawSampled(W),MaxDrawSampled(W),AllDrawSamples(W),Tuples
fe_body,GPULog,5.4264,646.7235,119.1819,49.68,92.00,111.88,167.66,193.10,"49.68,57.02,55.76,108.37,172.94,191.04,193.10,183.16,186.36,162.40,174.68,169.41,105.44,144.57,91.51,124.26,107.50,130.27,109.84,93.48,113.92,86.14,90.22,123.54,94.62,71.25",156120489
vsp,GPULog,92.3254,10698.5820,115.8790,49.95,71.85,73.32,164.73,238.13,"49.95,56.69,54.95,54.95,164.46,212.94,218.81,223.49,238.13,226.05,233.70,217.34,127.34,187.83,116.85,71.53,71.25,73.93,89.95,71.25,71.25,192.51,195.98,72.52,71.53,110.11,188.70,197.78,72.99,71.60,158.04,71.25,189.57,71.32,189.57,71.60,72.12,174.08,76.00,71.25,179.08,71.60,73.07,71.53,205.06,211.20,205.72,86.14,71.60,73.93,71.60,89.95,71.53,196.31,71.60,165.06,113.65,179.08,174.68,171.15,166.20,172.61,162.23,173.81,84.13,201.25,71.60,172.34,71.53,74.54,71.60,84.13,165.33,179.35,71.25,201.52,71.60,80.33,166.80,176.74,71.60,76.88,171.15,179.35,71.60,75.05,199.79,162.72,71.60,79.46,145.76,201.85,71.60,101.03,71.53,74.46,165.33,211.47,71.53,151.03,71.53,89.08,71.53,77.20,71.53,73.39,70.38,105.44,127.07,176.15,185.16,210.60,181.96,176.15,187.23,211.80,182.29,172.94,127.34,111.58,71.53,73.32,71.60,77.39,165.93,175.82,71.53,167.07,169.41,168.81,71.85,71.85,71.85,71.85,71.85,71.92,110.71,70.65,209.52,204.25,166.20,162.99,71.85,72.12,72.12,163.26,195.12,200.77,163.43,101.63,71.32,71.85,71.85,71.85,71.92,71.92,72.12,72.12,72.19,72.19,158.04,204.79,165.33,76.52,71.85,71.85,71.85,71.85,71.85,71.92,72.12,72.19,168.54,156.25,201.25,164.46,97.23,71.85,71.92,71.85,71.85,167.07,145.76,213.91,182.55,85.00,71.53,71.85,71.85,71.85,71.85,160.65,210.87,148.37,70.73,71.53,71.85,71.92,71.85,71.85,164.73,152.45,196.31,112.18,71.85,71.53,71.85,71.85,71.85,71.85,160.38,208.92,125.60,71.53,71.53,71.85,71.85,71.85,71.85,160.06,195.91,161.53,70.65,71.53,71.85,71.85,71.85,71.85,167.67,150.71,196.85,118.86,71.53,71.85,71.85,71.85,71.85,165.06,158.32,195.12,87.88,71.53,71.85,71.53,71.85,71.92,165.93,174.68,148.10,70.98,71.53,71.60,71.85,71.92,71.85,139.89,187.23,70.11,71.53,71.60,71.53,71.60,71.60,158.59,151.30,148.10,70.98,71.53,71.60,71.85,159.46,167.67,108.64,71.53,71.53,71.53,71.85,158.04,198.64,74.78,71.60,71.60,71.85,167.39,154.25,193.37,74.78,71.85,71.53,71.60,71.85,153.05,181.09,70.46,71.53,71.53,71.85,166.47,139.89,184.03,70.46,71.92,71.92,71.53,71.85,152.18,184.30,70.46,71.85,71.85,71.92,71.85,164.73,140.77,130.27,71.60,71.85,71.85,71.92,71.85,158.92,178.76,106.91,71.85,71.85,71.85,159.46,105.16,148.37,150.71,70.98,71.85,71.85,71.92,71.85,164.13,154.52,176.74,84.67,71.92,71.92,71.85,71.85,71.85,166.20,142.23,136.69,71.92,71.85,173.48,158.59,96.36,71.85,71.85,162.72,154.25,71.85,71.85,71.53,87.34,71.92",910070918
sf,GPULog,3.6397,386.7794,106.2669,50.00,90.09,118.29,141.62,153.64,"50.00,56.96,58.42,90.22,111.58,149.24,147.51,126.60,146.63,153.64,151.03,125.60,126.20,90.04,125.00,97.56,105.44,70.98",80498014 
usroads,GPULog,82.7070,9721.6278,117.5431,49.95,71.53,109.38,164.99,190.17,"49.95,57.23,54.89,111.31,155.71,172.07,172.07,174.40,177.61,170.87,179.62,190.17,178.76,109.84,161.80,79.46,95.49,157.88,190.17,85.54,179.62,74.78,165.60,172.34,157.45,71.53,71.85,164.04,108.91,71.53,99.90,133.21,71.53,181.09,82.06,71.60,148.70,152.18,172.34,180.22,119.19,76.20,71.60,91.69,189.57,163.26,72.44,71.53,174.68,71.53,161.26,71.85,184.43,71.53,71.85,185.57,76.20,71.53,183.16,168.81,78.86,71.53,72.44,71.25,72.12,71.25,183.43,71.32,171.75,71.32,167.94,71.60,159.19,71.25,144.02,71.25,74.54,71.60,87.61,167.07,160.65,71.53,72.72,161.42,113.04,71.53,72.99,167.94,153.05,71.53,74.54,70.98,164.13,162.40,162.12,71.53,80.00,71.60,73.86,71.53,95.22,118.86,189.29,178.48,157.12,165.33,170.00,169.73,167.84,163.60,168.54,166.47,168.26,159.46,167.57,147.23,159.19,151.30,165.33,180.49,165.16,70.38,86.14,71.53,72.44,71.92,74.86,71.85,84.13,151.58,157.12,70.19,72.19,71.60,72.44,71.60,74.86,171.32,168.54,99.02,127.07,71.53,72.72,71.60,76.80,159.89,159.46,71.53,71.85,71.53,74.19,166.80,157.12,71.53,71.53,70.38,70.98,147.23,143.43,171.75,71.53,71.53,71.53,71.60,71.53,178.76,175.82,170.27,167.39,71.53,71.53,71.53,71.53,71.60,71.53,71.53,71.53,71.53,71.53,71.60,71.53,131.15,111.58,115.98,128.21,154.25,130.87,70.98,168.26,160.06,173.21,165.93,166.47,168.81,162.72,165.93,173.21,147.23,175.27,71.53,178.48,177.88,176.15,169.14,71.60,71.53,71.53,71.85,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.53,71.60,71.53,71.53,162.40,154.79,135.55,117.99,160.65,164.46,141.54,155.98,148.37,123.54,172.34,150.55,148.37,153.37,165.33,139.89,144.57,159.79,101.03,70.19,71.85,71.60,71.60,71.53,71.85,71.53,186.63,71.85,186.63,182.29,176.74,170.00,173.30,162.72,142.83,153.05,72.19,117.99,77.12,71.25,71.53,71.53,71.60,71.53,71.53,72.12",871365688
fe_body,MNMGDatalog,5.0228,457.7908,91.1423,50.00,72.86,80.00,118.02,172.94,"50.00,56.63,106.58,131.74,172.94,156.85,74.54,74.86,80.60,139.35,80.00,71.60,115.98,83.21,73.59,120.05,71.60,72.12,74.19",156120489
vsp,MNMGDatalog,83.1724,7200.5836,86.5742,49.95,70.98,71.25,72.72,193.77,"49.95,56.96,61.63,162.12,178.15,184.03,145.76,153.05,146.04,71.53,70.98,70.98,70.65,70.65,132.88,143.43,134.68,99.02,70.65,70.65,70.98,144.90,70.98,131.15,70.65,70.65,71.85,70.65,70.65,70.98,129.40,81.79,72.72,70.65,143.43,127.94,86.47,71.53,71.85,71.85,72.72,70.98,71.25,72.72,70.65,72.99,70.65,70.65,70.98,137.29,70.98,70.65,136.69,70.65,70.65,71.53,190.17,70.98,189.29,71.53,70.98,72.12,70.98,72.72,75.05,70.98,70.65,70.98,135.22,71.25,70.98,70.98,70.98,74.46,71.25,70.98,70.98,70.98,70.98,72.12,70.98,70.98,143.43,72.12,70.98,157.12,71.25,71.25,71.25,126.47,71.53,161.53,71.25,71.25,70.98,71.25,72.12,70.98,182.83,71.53,110.38,70.98,193.77,71.53,108.64,70.98,71.25,71.85,70.98,70.98,70.98,156.58,114.19,71.25,71.25,71.25,71.25,155.71,71.25,70.98,116.53,145.44,71.25,155.98,70.98,159.46,71.25,71.25,71.25,71.85,71.25,117.99,71.25,71.25,71.25,71.25,71.25,71.25,134.95,71.25,71.25,71.53,71.25,71.25,72.12,117.12,71.25,71.25,71.53,71.25,71.25,71.25,71.25,71.25,71.25,71.85,71.53,71.25,71.53,71.25,71.25,71.25,71.25,71.85,71.25,71.25,71.53,71.25,71.25,71.53,71.53,71.25,71.53,71.25,152.18,71.53,71.53,168.81,71.25,71.25,153.64,71.53,71.25,71.53,70.98,119.73,71.25,71.25,136.41,71.25,70.98,71.25,72.44,71.25,71.53,71.25,71.25,154.25,71.25,71.25,124.13,71.25,71.25,72.72,72.12,72.12,69.51,69.19,74.78,75.05",910070918
sf,MNMGDatalog,3.2724,293.5918,89.7176,49.95,74.46,93.75,106.58,149.84,"49.95,56.63,93.75,124.73,149.84,110.98,98.15,103.69,88.21,74.19,106.58,75.66,74.46",80498014
usroads,MNMGDatalog,76.8565,6624.1834,86.1890,49.68,70.98,71.05,73.10,197.45,"49.68,57.83,55.76,115.38,173.21,103.69,102.51,139.62,126.47,94.89,95.22,123.86,112.45,72.12,149.57,77.39,70.98,70.65,70.65,70.73,70.65,70.73,71.53,70.65,70.65,143.43,70.73,70.65,70.65,70.65,129.40,70.65,154.52,70.65,85.87,175.54,70.73,70.98,70.73,70.65,194.85,70.65,70.73,70.73,133.76,70.65,146.63,70.73,70.65,110.98,70.65,162.99,70.65,70.98,70.65,71.05,169.14,70.65,197.45,178.76,157.12,78.26,70.65,70.98,70.98,70.98,70.98,70.98,70.98,70.98,70.98,71.05,71.05,126.47,70.98,138.43,70.98,73.32,70.98,70.98,70.98,70.98,101.03,70.98,71.05,70.98,71.05,70.98,165.60,145.17,70.98,71.05,72.19,70.98,71.25,70.98,71.25,71.53,71.25,71.25,71.05,71.25,138.43,70.98,71.25,71.05,144.57,70.98,71.32,71.25,71.53,70.98,71.05,70.98,71.53,71.25,72.44,71.25,71.25,71.25,71.05,71.05,73.59,71.32,154.52,126.74,70.98,71.25,70.98,71.85,70.98,70.98,71.05,71.53,72.44,70.98,71.05,70.98,70.98,70.98,166.47,71.05,70.98,70.98,70.98,70.98,70.98,165.06,70.98,71.25,70.98,71.05,70.98,71.05,159.19,74.46,70.98,149.57,131.15,71.05,71.53,71.05,97.23,71.25,70.98,70.98,71.05,71.53,70.98,78.54,70.98,70.98,71.25,70.98,71.25,71.32,135.55,70.98,71.05,71.25,71.32,71.25,71.05,71.25,72.12,72.12,71.53,69.19,69.19,73.93",871365688
fe_body,cuDF,90.6405,8559.4262,94.4327,53.31,78.70,81.62,91.82,211.68,"53.31,53.31,53.31,53.31,53.31,53.31,53.31,53.64,53.31,53.31,53.31,53.64,53.31,53.31,53.64,53.31,53.31,53.31,53.31,53.31,53.31,53.31,53.31,53.31,53.31,58.30,64.71,62.64,62.64,62.64,62.97,64.98,62.64,75.77,129.13,141.94,85.10,78.70,103.16,167.05,94.43,79.57,88.90,79.30,92.69,85.69,78.70,78.70,77.50,78.37,186.85,81.62,82.49,82.17,196.77,90.63,113.68,78.70,95.02,79.84,92.36,174.32,101.69,81.89,93.56,81.62,79.57,195.10,77.83,80.16,82.17,79.84,99.96,80.16,202.69,84.83,82.17,123.28,188.38,100.82,78.37,79.30,77.83,83.64,79.57,86.83,78.97,79.84,78.70,186.38,100.28,78.37,89.17,186.65,78.70,91.22,79.30,80.43,79.30,90.36,78.10,79.84,83.64,78.70,78.10,79.57,86.83,78.37,94.16,81.71,78.70,78.97,81.03,179.85,91.22,82.17,202.69,78.70,102.29,96.75,95.02,84.23,95.62,78.37,79.57,101.15,78.10,78.70,82.17,85.10,79.30,178.52,79.84,91.82,78.70,83.96,202.37,86.56,78.97,78.37,81.62,87.70,78.37,81.62,81.03,81.89,91.82,78.10,89.49,84.23,88.30,80.71,79.57,211.68,78.70,89.49,79.84,91.50,78.70,87.43,80.43,116.01,107.55,156.25,98.23,78.70,78.70,89.49,199.76,79.30,78.97,78.70,202.96,87.15,80.16,83.64,84.50,169.92,78.97,113.41,78.70,80.16,186.65,78.97,87.70,108.69,80.71,82.76,81.89,90.63,79.57,148.39,83.64,78.97,80.43,83.64,78.97,81.62,80.16,89.49,95.62,203.76,80.16,171.71,78.70,122.74,81.62,82.17,156.25,81.62,89.49,79.30,207.83,101.42,81.62,78.70,79.30,80.71,82.49,104.03,78.78,81.62,165.26,79.30,83.03,83.03,167.32,85.10,81.03,81.89,155.06,78.97,78.70,78.37,78.70,87.43,79.30,175.46,111.08,78.97,95.02,78.97,81.62,83.36,82.76,98.23,192.97,80.16,89.49,82.17,80.16,99.09,78.97,150.72,79.30,83.03,78.70,78.97,80.16,84.50,79.57,78.97,88.30,78.70,102.62,79.30,78.70,134.94,79.30,94.43,84.50,92.96,160.05,79.30,79.84,79.57",156120489
vsp,cuDF,0,0,0,0,0,0,0,0,"",0
